source,source_url,root_url,base_url,name,generator,status_code,api_base_url,site_title,version,locale,extensions,source_or_base,package_list_count,package_list_source_base_or_apibase,tag_list_count,tag_list_source_base_or_apibase,organization_list_count,organization_list_source_base_or_apibase,oldest_metadata_created_date,most_recent_update_date,dates_source_base_or_apibase
datashades.info,http://dados.ufop.br,dados.ufop.br,http://dados.ufop.br,Bem vindo - UFOP Dados Abertos,,200,http://dados.ufop.br,UFOP Dados Abertos,2.6.3,pt_BR,"['datapusher', 'datastore', 'stats', 'text_view', 'image_view', 'recline_view', 'pdf_view']",source,59,source_url,97,source_url,1,source_url,2017-08-31 15:09:33.994049,2023-06-02 16:27:16.105020,source_url
datashades.info,https://data.barrowbc.gov.uk,data.barrowbc.gov.uk,https://data.barrowbc.gov.uk,Connection Error,,200,,,,,,,,,,,,,,,
datashades.info,https://opendata.ugr.es,opendata.ugr.es,https://opendata.ugr.es,Bienvenida - OpenData UGR,,200,https://opendata.ugr.es,OpenData UGR,2.9.5,es,"['stats', 'text_view', 'webpage_view', 'image_view', 'pdf_view', 'recline_view', 'datastore', 'datapusher', 'resource_proxy', 'dcat', 'dcat_rdf_harvester', 'dcat_json_harvester', 'dcat_json_interface', 'structured_data', 'harvest', 'ckan_harvester']",source,60,source_url,92,source_url,3,source_url,2021-09-24 09:06:26.700407,2023-06-16 14:41:57.466452,source_url
datashades.info,https://dados.uffs.edu.br,dados.uffs.edu.br,https://dados.uffs.edu.br,Bem vindo - Dados abertos da UFFS,,200,https://dados.uffs.edu.br,Dados abertos da UFFS,2.9.7,pt_BR,"['stats', 'text_view', 'image_view', 'recline_view', 'datastore', 'datapusher', 'example_theme', 'ldap']",source,16,source_url,13,source_url,1,source_url,2023-02-07 11:46:45.109262,2023-03-10 14:00:13.508162,source_url
datashades.info,http://portal.igg.ac.mn,portal.igg.ac.mn,http://portal.igg.ac.mn,Тавтай морилно уу? - IGG Knowledge Portal,,200,http://portal.igg.ac.mn,IGG Knowledge Portal,2.8.1,mn_MN,"['stats', 'text_view', 'image_view', 'recline_view', 'recline_grid_view', 'recline_graph_view', 'pdf_view', 'resource_proxy', 'theme']",source,953,source_url,1039,source_url,11,source_url,2018-09-20 08:31:46.824431,2023-06-23 08:31:04.167983,source_url
datashades.info,https://data.ed.gov,data.ed.gov,https://data.ed.gov,Welcome - Department of Education Open Data Platform,,200,https://data.ed.gov,Department of Education Open Data Platform,2.9.9,en,"['saml2auth', 'datastore', 'xloader', 'dataexplorer_view', 'dataexplorer_table_view', 'dataexplorer_chart_view', 'dataexplorer_map_view', 'ckan_harvester', 'datajson_harvest', 'ed', 'edharvest', 'eddatajsonharvest', 'ed_sources', 'ed_stats', 'resource_proxy', 'ed_hierarchy_display', 'ed_hierarchy_form', 'documentation', 'ed_collections', 'ed_data_explorers', 'ed_format_translator', 'ed_resource_approval', 'deadoralive', 'pages', 'showcase', 'googleanalytics', 'envvars']",source,799,source_url,2817,source_url,55,source_url,2020-06-13 17:36:54.589144,2023-07-05 16:31:08.103560,source_url
datashades.info,http://opendata.gov.mn,opendata.gov.mn,http://opendata.gov.mn,Тавтай морилно уу? - OpenData.mn,,200,https://opendata.gov.mn,OpenData.mn,2.8.2,mn_MN,"['stats', 'text_view', 'image_view', 'recline_view', 'everest_theme', 'datastore', 'datapusher', 'pages', 'showcase', 'resource_proxy', 'disqus', 'officedocs_view', 'pdf_view', 'linechart', 'barchart', 'piechart', 'navigablemap', 'choroplethmap', 'geo_view', 'geojson_view', 'featuredviews', 'googleanalytics']",source,774,source_url,367,source_url,58,source_url,2020-04-14 11:05:31.453585,2023-07-06 08:36:09.910885,source_url
datashades.info,https://daten.rlp.de,daten.rlp.de,https://daten.rlp.de,Willkommen - RLP - OGD Plattform,,200,https://daten.rlp.de,RLP - OGD Plattform,2.9.9,de,"['stats', 'text_view', 'image_view', 'recline_view', 'webpage_view', 'geoportalmap_view', 'scheming_datasets', 'scheming_organizations', 'spatial_metadata', 'spatial_query', 'resource_proxy', 'geo_view', 'pages', 'dcat', 'dcatde', 'rlp']",source,6628,source_url,2758,source_url,104,source_url,2022-01-19 07:51:44.582943,2023-07-06 03:28:14.030414,source_url
datashades.info,https://data.gov.il,data.gov.il,https://data.gov.il,AttributeError,,200,,,,,,,1075,source_url,1844,source_url,58,source_url,,,
datashades.info,https://www.opengov-muenchen.de,www.opengov-muenchen.de,https://www.opengov-muenchen.de,Willkommen - Open Data München,,200,,,,,,,,,,,,,,,
